version,model_name,rmse_train,mae_train,r2_train,rmse_test,mae_test,r2_test
SARIMAX Train Once - Test Once,SARIMAX,20704.87839449261,15358.540698134691,0.4508327809807866,19801.85914487888,14742.08705701988,0.4240002759034128
SARIMAX log Train Once Test Once,SARIMAX,27199.61471925769,17453.110903562087,0.05226975225345887,26493.53840812254,17565.06577356985,-0.03107503673622225
SARIMAX Walk-Forward,SARIMAX,20704.87839449261,15358.540698134691,0.4508327809807866,20164.931808133195,15050.168519989958,0.4026844005828757
SARIMAX log Walk-Forward,SARIMAX,27199.61471925769,17453.110903562087,0.05226975225345887,26552.67851905519,17739.65292548016,-0.03568340198801012
